(-993225458979902109, 35) 1 | (35, 993225458979902109) 6
(-56398109226537196, 15396653) 2 | (15396653, 56398109226537196) 2
(-55435107927845089, 86455902476695971) 4 | (86455902476695971, 55435107927845089) 1
(-55287848299961243, 966880) 8 | (966880, 55287848299961243) 2
(-55052290578823190, 766719055703) 16 | (766719055703, 55052290578823190) 75
(-54959987672121001, 94604671515746758) 1 | (94604671515746758, 54959987672121001) 6
(-54664958608374128, 18407556261) 61 | (18407556261, 54664958608374128) 15
(-54507906162786569, 59848407558421798) 4 | (59848407558421798, 54507906162786569) 3
(-54465544506445607, 50635040496) 6 | (50635040496, 54465544506445607) 2
(-54263008360612811, 185) 1 | (185, 54263008360612811) 5
(-54088550857763959, 105868) 8 | (105868, 54088550857763959) 0
(-53745290737539349, 68484336876428791) 8 | (68484336876428791, 53745290737539349) 1
(-52683663575318808, 394165348359740579) 7 | (394165348359740579, 52683663575318808) 2
(-51937791134834595, 111491639915642102) 6 | (111491639915642102, 51937791134834595) 0
(-51930938502696745, 42011731512832017) 3 | (42011731512832017, 51930938502696745) 7
(-51890878157884883, 248506) 6 | (248506, 51890878157884883) 16
(-51602266741953013, 5922) 1 | (5922, 51602266741953013) 3
